Group,Start,End,P/N,Description,ATA,Unit Hours,U/S Rem.,Rate U/S Rem.,U/S Rem rate UCL,Failures,Rate Fail.,Conf. Fail.,Other Fail.,No Fault,Not Reported,Not Reported %,MTBUR,MTBUR LCL,MTBUR %,MTTUR,MTBF,MTBF LCL,MTBF %,NFF Rate,NFF Rate UCL
Own Configuration,2022-05-01,2023-04-30,2123M56P01,ELECTRONIC CONTROL UNIT (ECU),73,1595,1,0.626959248,0.549962353,0,0,0,0,0,1,100,1595,1595,100,16517,,,,,
Own Configuration,2022-06-01,2023-05-31,2123M56P01,ELECTRONIC CONTROL UNIT (ECU),73,1545,1,0.647249191,0.788267105,0,0,0,0,0,1,100,1545,1472.772818,104.9041632,16517,,,,,
Own Configuration,2022-07-01,2023-06-30,2123M56P01,ELECTRONIC CONTROL UNIT (ECU),73,1429,1,0.699790063,0.984062389,0,0,0,0,0,1,100,1429,1288.813643,110.8771627,16517,,,,,
Own Configuration,2022-08-01,2023-07-31,2123M56P01,ELECTRONIC CONTROL UNIT (ECU),73,1241,1,0.805801773,1.179608477,0,0,0,0,0,1,100,1241,1020.16653,121.646806,16517,,,,,
Own Configuration,2022-08-01,2023-07-31,2695A0000-01,SENSOR,21,686,1,1.457725948,1.879518171,0,0,0,0,0,1,100,686,686,100,570,,,,,
Own Configuration,2022-06-01,2023-05-31,2758,MAIN BATTERY 2758,24,4275,1,0.233918129,0.603794421,0,0,0,0,0,1,100,4275,295.2829406,1447.763962,28,,,,,
Own Configuration,2022-05-01,2023-04-30,2758,MAIN BATTERY 2758,24,2647,1,0.377786173,0.613902531,0,0,0,0,0,1,100,2647,2647,100,28,,,,,
Own Configuration,2022-08-01,2023-07-31,2758,MAIN BATTERY 2758,24,8015,1,0.124766064,0.523543882,0,0,0,0,0,1,100,8015,0,,28,,,,,
Own Configuration,2022-07-01,2023-06-30,2758,MAIN BATTERY 2758,24,6178,1,0.161864681,0.561833422,0,0,0,0,0,1,100,6178,0,,28,,,,,
Own Configuration,2022-07-01,2023-06-30,3-1531-1,NOSE WHEEL ASSY,32,348,1,2.873563218,5.765048946,0,0,0,0,0,1,100,348,348,100,345,,,,,
Own Configuration,2022-06-01,2023-05-31,3-1531-1,NOSE WHEEL ASSY,32,348,1,2.873563218,5.477692624,0,0,0,0,0,1,100,348,348,100,345,,,,,
Own Configuration,2022-05-01,2023-04-30,3-1531-1,NOSE WHEEL ASSY,32,348,1,2.873563218,4.66954023,0,0,0,0,0,1,100,348,348,100,345,,,,,
Own Configuration,2022-08-01,2023-07-31,3-1531-1,NOSE WHEEL ASSY,32,394,1,2.538071066,5.707730009,0,0,0,0,0,1,100,394,296.25,132.9957806,345,,,,,
Own Configuration,2022-02-01,2023-01-31,3214-31,BATTERY,33,1872,2,1.068376068,17.73701283,0,0,0,0,0,2,100,936,0,,426,,,,,
Own Configuration,2022-01-01,2022-12-31,3214-31,BATTERY,33,1744,2,1.146788991,18.99050972,0,0,0,0,0,2,100,872,0,,426,,,,,
Own Configuration,2022-04-01,2023-03-31,3214-31,BATTERY,33,2080,2,0.961538462,15.83873496,0,0,0,0,0,2,100,1040,0,,426,,,,,
Own Configuration,2022-03-01,2023-02-28,3214-31,BATTERY,33,1994,2,1.003009027,16.70622037,0,0,0,0,0,2,100,997,0,,426,,,,,
